type,client,tx,amount
deposit,1,194,10.0
deposit,2,195,30.0
deposit,1,196,10.0
deposit,1,198,10.0
deposit,1,200,10.0
deposit,2,201,30.0
deposit,1,202,10.0
deposit,1,204,10.0
withdrawal,2,205,10.0
deposit,1,206,10.0
deposit,2,207,30.0
deposit,1,208,10.0
deposit,1,210,10.0
deposit,1,212,10.0
deposit,2,213,30.0
deposit,1,214,10.0
withdrawal,2,215,10.0
deposit,1,216,10.0
deposit,1,218,10.0
deposit,2,219,30.0
deposit,1,220,10.0
deposit,1,222,10.0
deposit,1,224,10.0
deposit,2,225,30.0
deposit,1,226,10.0
deposit,1,228,10.0
deposit,1,230,10.0
deposit,2,231,30.0
deposit,1,232,10.0
deposit,1,234,10.0
withdrawal,2,235,10.0
deposit,1,236,10.0
deposit,2,237,30.0
deposit,1,238,10.0
deposit,1,240,10.0
deposit,1,242,10.0
deposit,2,243,30.0
deposit,1,244,10.0
withdrawal,2,245,10.0
deposit,1,246,10.0
deposit,1,248,10.0
deposit,2,249,30.0
deposit,1,250,10.0
deposit,1,252,10.0
deposit,1,254,10.0
deposit,2,255,30.0
deposit,1,256,10.0
deposit,1,258,10.0
deposit,1,260,10.0
deposit,2,261,30.0
deposit,1,262,10.0
deposit,1,264,10.0
withdrawal,2,265,10.0
deposit,1,266,10.0
deposit,2,267,30.0
deposit,1,268,10.0
deposit,1,270,10.0
deposit,1,272,10.0
deposit,2,273,30.0
deposit,1,274,10.0
withdrawal,2,275,10.0
deposit,1,276,10.0
deposit,1,278,10.0
deposit,2,279,30.0
deposit,1,280,10.0
deposit,1,282,10.0
deposit,1,284,10.0
deposit,2,285,30.0
deposit,1,286,10.0
deposit,1,288,10.0
deposit,1,290,10.0
deposit,2,291,30.0
deposit,1,292,10.0
deposit,1,294,10.0
withdrawal,2,295,10.0
deposit,1,296,10.0
deposit,2,297,30.0
deposit,1,298,10.0
deposit,1,300,10.0
deposit,1,302,10.0
deposit,2,303,30.0
deposit,1,304,10.0
withdrawal,2,305,10.0
deposit,1,306,10.0
deposit,1,308,10.0
deposit,2,309,30.0
deposit,1,310,10.0
deposit,1,312,10.0
deposit,1,314,10.0
deposit,2,315,30.0
deposit,1,316,10.0
deposit,1,318,10.0
deposit,1,320,10.0
deposit,2,321,30.0
deposit,1,322,10.0
deposit,1,324,10.0
withdrawal,2,325,10.0
deposit,1,326,10.0
deposit,2,327,30.0
deposit,1,328,10.0
deposit,1,330,10.0
deposit,1,332,10.0
deposit,2,333,30.0
deposit,1,334,10.0
withdrawal,2,335,10.0
deposit,1,336,10.0
deposit,1,338,10.0
deposit,2,339,30.0
deposit,1,340,10.0
deposit,1,342,10.0
deposit,1,344,10.0
deposit,2,345,30.0
deposit,1,346,10.0
deposit,1,348,10.0
deposit,1,350,10.0
deposit,2,351,30.0
deposit,1,352,10.0
deposit,1,354,10.0
withdrawal,2,355,10.0
deposit,1,356,10.0
deposit,2,357,30.0
deposit,1,358,10.0
deposit,1,360,10.0
deposit,1,362,10.0
deposit,2,363,30.0
deposit,1,364,10.0
withdrawal,2,365,10.0
deposit,1,366,10.0
deposit,1,368,10.0
deposit,2,369,30.0
deposit,1,370,10.0
deposit,1,372,10.0
deposit,1,374,10.0
deposit,2,375,30.0
deposit,1,376,10.0
deposit,1,378,10.0
deposit,1,380,10.0
deposit,2,381,30.0
deposit,1,382,10.0
deposit,1,384,10.0
withdrawal,2,385,10.0
deposit,1,386,10.0
deposit,2,387,30.0
deposit,1,388,10.0
deposit,1,390,10.0
deposit,1,392,10.0
deposit,2,393,30.0
deposit,1,394,10.0
withdrawal,2,395,10.0
deposit,1,396,10.0
deposit,1,398,10.0
deposit,2,399,30.0
deposit,1,400,10.0
deposit,1,402,10.0
deposit,1,404,10.0
deposit,2,405,30.0
deposit,1,406,10.0
deposit,1,408,10.0
deposit,1,410,10.0
deposit,2,411,30.0
deposit,1,412,10.0
deposit,1,414,10.0
withdrawal,2,415,10.0
deposit,1,416,10.0
deposit,2,417,30.0
deposit,1,418,10.0
deposit,1,420,10.0
deposit,1,422,10.0
deposit,2,423,30.0
deposit,1,424,10.0
withdrawal,2,425,10.0
deposit,1,426,10.0
deposit,1,428,10.0
deposit,2,429,30.0
deposit,1,430,10.0
deposit,1,432,10.0
deposit,1,434,10.0
deposit,2,435,30.0
deposit,1,436,10.0
deposit,1,438,10.0
deposit,1,440,10.0
deposit,2,441,30.0
deposit,1,442,10.0
deposit,1,444,10.0
withdrawal,2,445,10.0
deposit,1,446,10.0
deposit,2,447,30.0
deposit,1,448,10.0
deposit,1,450,10.0
deposit,1,452,10.0
deposit,2,453,30.0
deposit,1,454,10.0
withdrawal,2,455,10.0
deposit,1,456,10.0
deposit,1,458,10.0
deposit,2,459,30.0
deposit,1,460,10.0
deposit,1,462,10.0
deposit,1,464,10.0
deposit,2,465,30.0
deposit,1,466,10.0
deposit,1,468,10.0
deposit,1,470,10.0
deposit,2,471,30.0
deposit,1,472,10.0
deposit,1,474,10.0
withdrawal,2,475,10.0
deposit,1,476,10.0
deposit,2,477,30.0
deposit,1,478,10.0
deposit,1,480,10.0
deposit,1,482,10.0
deposit,2,483,30.0
deposit,1,484,10.0
withdrawal,2,485,10.0
deposit,1,486,10.0
deposit,1,488,10.0
deposit,2,489,30.0
deposit,1,490,10.0
deposit,1,492,10.0
deposit,1,494,10.0
deposit,2,495,30.0
deposit,1,496,10.0
deposit,1,498,10.0
deposit,1,500,10.0
deposit,2,501,30.0
deposit,1,502,10.0
deposit,1,504,10.0
withdrawal,2,505,10.0
deposit,1,506,10.0
deposit,2,507,30.0
deposit,1,508,10.0
deposit,1,510,10.0
deposit,1,512,10.0
deposit,2,513,30.0
deposit,1,514,10.0
withdrawal,2,515,10.0
deposit,1,516,10.0
deposit,1,518,10.0
deposit,2,519,30.0
deposit,1,520,10.0
deposit,1,522,10.0
deposit,1,524,10.0
deposit,2,525,30.0
deposit,1,526,10.0
deposit,1,528,10.0
deposit,1,530,10.0
deposit,2,531,30.0
deposit,1,532,10.0
deposit,1,534,10.0
withdrawal,2,535,10.0
deposit,1,536,10.0
deposit,2,537,30.0
deposit,1,538,10.0
deposit,1,540,10.0
deposit,1,542,10.0
deposit,2,543,30.0
deposit,1,544,10.0
withdrawal,2,545,10.0
deposit,1,546,10.0
deposit,1,548,10.0
deposit,2,549,30.0
deposit,1,550,10.0
deposit,1,552,10.0
deposit,1,554,10.0
deposit,2,555,30.0
deposit,1,556,10.0
deposit,1,558,10.0
deposit,1,560,10.0
deposit,2,561,30.0
deposit,1,562,10.0
deposit,1,564,10.0
withdrawal,2,565,10.0
deposit,1,566,10.0
deposit,2,567,30.0
deposit,1,568,10.0
deposit,1,570,10.0
deposit,1,572,10.0
deposit,2,573,30.0
deposit,1,574,10.0
withdrawal,2,575,10.0
deposit,1,576,10.0
deposit,1,578,10.0
deposit,2,579,30.0
deposit,1,580,10.0
deposit,1,582,10.0
deposit,1,584,10.0
deposit,2,585,30.0
deposit,1,586,10.0
deposit,1,588,10.0
deposit,1,590,10.0
deposit,2,591,30.0
deposit,1,592,10.0
deposit,1,594,10.0
withdrawal,2,595,10.0
deposit,1,596,10.0
deposit,2,597,30.0
deposit,1,598,10.0
deposit,1,600,10.0
deposit,1,602,10.0
deposit,2,603,30.0
deposit,1,604,10.0
withdrawal,2,605,10.0
deposit,1,606,10.0
deposit,1,608,10.0
deposit,2,609,30.0
deposit,1,610,10.0
deposit,1,612,10.0
deposit,1,614,10.0
deposit,2,615,30.0
deposit,1,616,10.0
deposit,1,618,10.0
deposit,1,620,10.0
deposit,2,621,30.0
deposit,1,622,10.0
deposit,1,624,10.0
withdrawal,2,625,10.0
deposit,1,626,10.0
deposit,2,627,30.0
deposit,1,628,10.0
deposit,1,630,10.0
deposit,1,632,10.0
deposit,2,633,30.0
deposit,1,634,10.0
withdrawal,2,635,10.0
deposit,1,636,10.0
deposit,1,638,10.0
deposit,2,639,30.0
deposit,1,640,10.0
deposit,1,642,10.0
deposit,1,644,10.0
deposit,2,645,30.0
deposit,1,646,10.0
deposit,1,648,10.0
deposit,1,650,10.0
deposit,2,651,30.0
deposit,1,652,10.0
deposit,1,654,10.0
withdrawal,2,655,10.0
deposit,1,656,10.0
deposit,2,657,30.0
deposit,1,658,10.0
deposit,1,660,10.0
deposit,1,662,10.0
deposit,2,663,30.0
deposit,1,664,10.0
withdrawal,2,665,10.0
deposit,1,666,10.0
deposit,1,668,10.0
deposit,2,669,30.0
deposit,1,670,10.0
deposit,1,672,10.0
deposit,1,674,10.0
deposit,2,675,30.0
deposit,1,676,10.0
deposit,1,678,10.0
deposit,1,680,10.0
deposit,2,681,30.0
deposit,1,682,10.0
deposit,1,684,10.0
withdrawal,2,685,10.0
deposit,1,686,10.0
deposit,2,687,30.0
deposit,1,688,10.0
deposit,1,690,10.0
deposit,1,692,10.0
deposit,2,693,30.0
deposit,1,694,10.0
withdrawal,2,695,10.0
deposit,1,696,10.0
deposit,1,698,10.0
deposit,2,699,30.0
deposit,1,700,10.0
deposit,1,702,10.0
deposit,1,704,10.0
deposit,2,705,30.0
deposit,1,706,10.0
deposit,1,708,10.0
deposit,1,710,10.0
deposit,2,711,30.0
deposit,1,712,10.0
deposit,1,714,10.0
withdrawal,2,715,10.0
deposit,1,716,10.0
deposit,2,717,30.0
deposit,1,718,10.0
deposit,1,720,10.0
deposit,1,722,10.0
deposit,2,723,30.0
deposit,1,724,10.0
withdrawal,2,725,10.0
deposit,1,726,10.0
deposit,1,728,10.0
deposit,2,729,30.0
deposit,1,730,10.0
deposit,1,732,10.0
deposit,1,734,10.0
deposit,2,735,30.0
deposit,1,736,10.0
deposit,1,738,10.0
deposit,1,740,10.0
deposit,2,741,30.0
deposit,1,742,10.0
deposit,1,744,10.0
withdrawal,2,745,10.0
deposit,1,746,10.0
deposit,2,747,30.0
deposit,1,748,10.0
deposit,1,750,10.0
deposit,1,752,10.0
deposit,2,753,30.0
deposit,1,754,10.0
withdrawal,2,755,10.0
deposit,1,756,10.0
deposit,1,758,10.0
deposit,2,759,30.0
deposit,1,760,10.0
deposit,1,762,10.0
deposit,1,764,10.0
deposit,2,765,30.0
deposit,1,766,10.0
deposit,1,768,10.0
deposit,1,770,10.0
deposit,2,771,30.0
deposit,1,772,10.0
deposit,1,774,10.0
withdrawal,2,775,10.0
deposit,1,776,10.0
deposit,2,777,30.0
deposit,1,778,10.0
deposit,1,780,10.0
deposit,1,782,10.0
deposit,2,783,30.0
deposit,1,784,10.0
withdrawal,2,785,10.0
deposit,1,786,10.0
deposit,1,788,10.0
deposit,2,789,30.0
deposit,1,790,10.0
deposit,1,792,10.0
deposit,1,794,10.0
deposit,2,795,30.0
deposit,1,796,10.0
deposit,1,798,10.0
deposit,1,800,10.0
deposit,2,801,30.0
deposit,1,802,10.0
deposit,1,804,10.0
withdrawal,2,805,10.0
deposit,1,806,10.0
deposit,2,807,30.0
deposit,1,808,10.0
deposit,1,810,10.0
deposit,1,812,10.0
deposit,2,813,30.0
deposit,1,814,10.0
withdrawal,2,815,10.0
deposit,1,816,10.0
deposit,1,818,10.0
deposit,2,819,30.0
deposit,1,820,10.0
deposit,1,822,10.0
deposit,1,824,10.0
deposit,2,825,30.0
deposit,1,826,10.0
deposit,1,828,10.0
deposit,1,830,10.0
deposit,2,831,30.0
deposit,1,832,10.0
deposit,1,834,10.0
withdrawal,2,835,10.0
deposit,1,836,10.0
deposit,2,837,30.0
deposit,1,838,10.0
deposit,1,840,10.0
deposit,1,842,10.0
deposit,2,843,30.0
deposit,1,844,10.0
withdrawal,2,845,10.0
deposit,1,846,10.0
deposit,1,848,10.0
deposit,2,849,30.0
deposit,1,850,10.0
deposit,1,852,10.0
deposit,1,854,10.0
deposit,2,855,30.0
deposit,1,856,10.0
deposit,1,858,10.0
deposit,1,860,10.0
deposit,2,861,30.0
deposit,1,862,10.0
deposit,1,864,10.0
withdrawal,2,865,10.0
deposit,1,866,10.0
deposit,2,867,30.0
deposit,1,868,10.0
deposit,1,870,10.0
deposit,1,872,10.0
deposit,2,873,30.0
deposit,1,874,10.0
withdrawal,2,875,10.0
deposit,1,876,10.0
deposit,1,878,10.0
deposit,2,879,30.0
deposit,1,880,10.0
deposit,1,882,10.0
deposit,1,884,10.0
deposit,2,885,30.0
deposit,1,886,10.0
deposit,1,888,10.0
deposit,1,890,10.0
deposit,2,891,30.0
deposit,1,892,10.0
deposit,1,894,10.0
withdrawal,2,895,10.0
deposit,1,896,10.0
deposit,2,897,30.0
deposit,1,898,10.0
deposit,1,900,10.0
deposit,1,902,10.0
deposit,2,903,30.0
deposit,1,904,10.0
withdrawal,2,905,10.0
deposit,1,906,10.0
deposit,1,908,10.0
deposit,2,909,30.0
deposit,1,910,10.0
deposit,1,912,10.0
deposit,1,914,10.0
deposit,2,915,30.0
deposit,1,916,10.0
deposit,1,918,10.0
deposit,1,920,10.0
deposit,2,921,30.0
deposit,1,922,10.0
deposit,1,924,10.0
withdrawal,2,925,10.0
deposit,1,926,10.0
deposit,2,927,30.0
deposit,1,928,10.0
deposit,1,930,10.0
deposit,1,932,10.0
deposit,2,933,30.0
deposit,1,934,10.0
withdrawal,2,935,10.0
deposit,1,936,10.0
deposit,1,938,10.0
deposit,2,939,30.0
deposit,1,940,10.0
deposit,1,942,10.0
deposit,1,944,10.0
deposit,2,945,30.0
deposit,1,946,10.0
deposit,1,948,10.0
deposit,1,950,10.0
deposit,2,951,30.0
deposit,1,952,10.0
deposit,1,954,10.0
withdrawal,2,955,10.0
deposit,1,956,10.0
deposit,2,957,30.0
deposit,1,958,10.0
deposit,1,960,10.0
deposit,1,962,10.0
deposit,2,963,30.0
deposit,1,964,10.0
withdrawal,2,965,10.0
deposit,1,966,10.0
deposit,1,968,10.0
deposit,2,969,30.0
deposit,1,970,10.0
deposit,1,972,10.0
deposit,1,974,10.0
deposit,2,975,30.0
deposit,1,976,10.0
deposit,1,978,10.0
deposit,1,980,10.0
deposit,2,981,30.0
deposit,1,982,10.0
deposit,1,984,10.0
withdrawal,2,985,10.0
deposit,1,986,10.0
deposit,2,987,30.0
deposit,1,988,10.0
deposit,1,990,10.0
deposit,1,992,10.0
deposit,2,993,30.0
deposit,1,994,10.0
withdrawal,2,995,10.0
deposit,1,996,10.0
deposit,1,998,10.0
deposit,2,999,30.0
deposit,1,1000,10.0
deposit,1,1002,10.0
deposit,1,1004,10.0
deposit,2,1005,30.0
deposit,1,1006,10.0
deposit,1,1008,10.0
deposit,1,1010,10.0
deposit,2,1011,30.0
deposit,1,1012,10.0
deposit,1,1014,10.0
withdrawal,2,1015,10.0
deposit,1,1016,10.0
deposit,2,1017,30.0
deposit,1,1018,10.0
deposit,1,1020,10.0
deposit,1,1022,10.0
deposit,2,1023,30.0
deposit,1,1024,10.0
withdrawal,2,1025,10.0
deposit,1,1026,10.0
deposit,1,1028,10.0
deposit,2,1029,30.0
deposit,1,1030,10.0
deposit,1,1032,10.0
deposit,1,1034,10.0
deposit,2,1035,30.0
deposit,1,1036,10.0
deposit,1,1038,10.0
deposit,1,1040,10.0
deposit,2,1041,30.0
deposit,1,1042,10.0
deposit,1,1044,10.0
withdrawal,2,1045,10.0
deposit,1,1046,10.0
deposit,2,1047,30.0
deposit,1,1048,10.0
deposit,1,1050,10.0
deposit,1,1052,10.0
deposit,2,1053,30.0
deposit,1,1054,10.0
withdrawal,2,1055,10.0
deposit,1,1056,10.0
deposit,1,1058,10.0
deposit,2,1059,30.0
deposit,1,1060,10.0
deposit,1,1062,10.0
deposit,1,1064,10.0
deposit,2,1065,30.0
deposit,1,1066,10.0
deposit,1,1068,10.0
deposit,1,1070,10.0
deposit,2,1071,30.0
deposit,1,1072,10.0
deposit,1,1074,10.0
withdrawal,2,1075,10.0
deposit,1,1076,10.0
deposit,2,1077,30.0
deposit,1,1078,10.0
deposit,1,1080,10.0
deposit,1,1082,10.0
deposit,2,1083,30.0
deposit,1,1084,10.0
withdrawal,2,1085,10.0
deposit,1,1086,10.0
deposit,1,1088,10.0
deposit,2,1089,30.0
deposit,1,1090,10.0
deposit,1,1092,10.0
deposit,1,1094,10.0
deposit,2,1095,30.0
deposit,1,1096,10.0
deposit,1,1098,10.0
deposit,1,1100,10.0
deposit,2,1101,30.0
deposit,1,1102,10.0
deposit,1,1104,10.0
withdrawal,2,1105,10.0
deposit,1,1106,10.0
deposit,2,1107,30.0
deposit,1,1108,10.0
deposit,1,1110,10.0
deposit,1,1112,10.0
deposit,2,1113,30.0
deposit,1,1114,10.0
withdrawal,2,1115,10.0
deposit,1,1116,10.0
deposit,1,1118,10.0
deposit,2,1119,30.0
deposit,1,1120,10.0
deposit,1,1122,10.0
deposit,1,1124,10.0
deposit,2,1125,30.0
deposit,1,1126,10.0
deposit,1,1128,10.0
deposit,1,1130,10.0
deposit,2,1131,30.0
deposit,1,1132,10.0
deposit,1,1134,10.0
withdrawal,2,1135,10.0
deposit,1,1136,10.0
deposit,2,1137,30.0
deposit,1,1138,10.0
deposit,1,1140,10.0
deposit,1,1142,10.0
deposit,2,1143,30.0
deposit,1,1144,10.0
withdrawal,2,1145,10.0
deposit,1,1146,10.0
deposit,1,1148,10.0
deposit,2,1149,30.0
deposit,1,1150,10.0
deposit,1,1152,10.0
deposit,1,1154,10.0
deposit,2,1155,30.0
deposit,1,1156,10.0
deposit,1,1158,10.0
deposit,1,1160,10.0
deposit,2,1161,30.0
deposit,1,1162,10.0
deposit,1,1164,10.0
withdrawal,2,1165,10.0
deposit,1,1166,10.0
deposit,2,1167,30.0
deposit,1,1168,10.0
deposit,1,1170,10.0
deposit,1,1172,10.0
deposit,2,1173,30.0
deposit,1,1174,10.0
withdrawal,2,1175,10.0
deposit,1,1176,10.0
deposit,1,1178,10.0
deposit,2,1179,30.0
deposit,1,1180,10.0
deposit,1,1182,10.0
deposit,1,1184,10.0
deposit,2,1185,30.0
deposit,1,1186,10.0
deposit,1,1188,10.0
deposit,1,1190,10.0
deposit,2,1191,30.0
deposit,1,1192,10.0
deposit,1,1194,10.0
withdrawal,2,1195,10.0
deposit,1,1196,10.0
deposit,2,1197,30.0
deposit,1,1198,10.0
deposit,1,1200,10.0
deposit,1,1202,10.0
deposit,2,1203,30.0
deposit,1,1204,10.0
withdrawal,2,1205,10.0
deposit,1,1206,10.0
deposit,1,1208,10.0
deposit,2,1209,30.0
deposit,1,1210,10.0
deposit,1,1212,10.0
deposit,1,1214,10.0
deposit,2,1215,30.0
deposit,1,1216,10.0
deposit,1,1218,10.0
deposit,1,1220,10.0
deposit,2,1221,30.0
deposit,1,1222,10.0
deposit,1,1224,10.0
withdrawal,2,1225,10.0
deposit,1,1226,10.0
deposit,2,1227,30.0
deposit,1,1228,10.0
deposit,1,1230,10.0
deposit,1,1232,10.0
deposit,2,1233,30.0
deposit,1,1234,10.0
withdrawal,2,1235,10.0
deposit,1,1236,10.0
deposit,1,1238,10.0
deposit,2,1239,30.0
deposit,1,1240,10.0
deposit,1,1242,10.0
deposit,1,1244,10.0
deposit,2,1245,30.0
deposit,1,1246,10.0
deposit,1,1248,10.0
deposit,1,1250,10.0
deposit,2,1251,30.0
deposit,1,1252,10.0
deposit,1,1254,10.0
withdrawal,2,1255,10.0
deposit,1,1256,10.0
deposit,2,1257,30.0
deposit,1,1258,10.0
deposit,1,1260,10.0
deposit,1,1262,10.0
deposit,2,1263,30.0
deposit,1,1264,10.0
withdrawal,2,1265,10.0
deposit,1,1266,10.0
deposit,1,1268,10.0
deposit,2,1269,30.0
deposit,1,1270,10.0
deposit,1,1272,10.0
deposit,1,1274,10.0
deposit,2,1275,30.0
deposit,1,1276,10.0
deposit,1,1278,10.0
deposit,1,1280,10.0
deposit,2,1281,30.0
deposit,1,1282,10.0
deposit,1,1284,10.0
withdrawal,2,1285,10.0
deposit,1,1286,10.0
deposit,2,1287,30.0
deposit,1,1288,10.0
deposit,1,1290,10.0
deposit,1,1292,10.0
deposit,2,1293,30.0
deposit,1,1294,10.0
withdrawal,2,1295,10.0
deposit,1,1296,10.0
deposit,1,1298,10.0
deposit,2,1299,30.0
deposit,1,1300,10.0
deposit,1,1302,10.0
deposit,1,1304,10.0
deposit,2,1305,30.0
deposit,1,1306,10.0
deposit,1,1308,10.0
deposit,1,1310,10.0
deposit,2,1311,30.0
deposit,1,1312,10.0
deposit,1,1314,10.0
withdrawal,2,1315,10.0
deposit,1,1316,10.0
deposit,2,1317,30.0
deposit,1,1318,10.0
deposit,1,1320,10.0
deposit,1,1322,10.0
deposit,2,1323,30.0
deposit,1,1324,10.0
withdrawal,2,1325,10.0
deposit,1,1326,10.0
deposit,1,1328,10.0
deposit,2,1329,30.0
deposit,1,1330,10.0
deposit,1,1332,10.0
deposit,1,1334,10.0
deposit,2,1335,30.0
deposit,1,1336,10.0
deposit,1,1338,10.0
deposit,1,1340,10.0
deposit,2,1341,30.0
deposit,1,1342,10.0
deposit,1,1344,10.0
withdrawal,2,1345,10.0
deposit,1,1346,10.0
deposit,2,1347,30.0
deposit,1,1348,10.0
deposit,1,1350,10.0
deposit,1,1352,10.0
deposit,2,1353,30.0
deposit,1,1354,10.0
withdrawal,2,1355,10.0
deposit,1,1356,10.0
deposit,1,1358,10.0
deposit,2,1359,30.0
deposit,1,1360,10.0
deposit,1,1362,10.0
deposit,1,1364,10.0
deposit,2,1365,30.0
deposit,1,1366,10.0
deposit,1,1368,10.0
deposit,1,1370,10.0
deposit,2,1371,30.0
deposit,1,1372,10.0
deposit,1,1374,10.0
withdrawal,2,1375,10.0
deposit,1,1376,10.0
deposit,2,1377,30.0
deposit,1,1378,10.0
deposit,1,1380,10.0
deposit,1,1382,10.0
deposit,2,1383,30.0
deposit,1,1384,10.0
withdrawal,2,1385,10.0
deposit,1,1386,10.0
deposit,1,1388,10.0
deposit,2,1389,30.0
deposit,1,1390,10.0
deposit,1,1392,10.0
deposit,1,1394,10.0
deposit,2,1395,30.0
deposit,1,1396,10.0
deposit,1,1398,10.0
deposit,1,1400,10.0
deposit,2,1401,30.0
deposit,1,1402,10.0
deposit,1,1404,10.0
withdrawal,2,1405,10.0
deposit,1,1406,10.0
deposit,2,1407,30.0
deposit,1,1408,10.0
deposit,1,1410,10.0
deposit,1,1412,10.0
deposit,2,1413,30.0
deposit,1,1414,10.0
withdrawal,2,1415,10.0
deposit,1,1416,10.0
deposit,1,1418,10.0
deposit,2,1419,30.0
deposit,1,1420,10.0
deposit,1,1422,10.0
deposit,1,1424,10.0
deposit,2,1425,30.0
deposit,1,1426,10.0
deposit,1,1428,10.0
deposit,1,1430,10.0
deposit,2,1431,30.0
deposit,1,1432,10.0
deposit,1,1434,10.0
withdrawal,2,1435,10.0
deposit,1,1436,10.0
deposit,2,1437,30.0
deposit,1,1438,10.0
deposit,1,1440,10.0
deposit,1,1442,10.0
deposit,2,1443,30.0
deposit,1,1444,10.0
withdrawal,2,1445,10.0
deposit,1,1446,10.0
deposit,1,1448,10.0
deposit,2,1449,30.0
deposit,1,1450,10.0
deposit,1,1452,10.0
deposit,1,1454,10.0
deposit,2,1455,30.0
deposit,1,1456,10.0
deposit,1,1458,10.0
deposit,1,1460,10.0
deposit,2,1461,30.0
deposit,1,1462,10.0
deposit,1,1464,10.0
withdrawal,2,1465,10.0
deposit,1,1466,10.0
deposit,2,1467,30.0
deposit,1,1468,10.0
deposit,1,1470,10.0
deposit,1,1472,10.0
deposit,2,1473,30.0
deposit,1,1474,10.0
withdrawal,2,1475,10.0
deposit,1,1476,10.0
deposit,1,1478,10.0
deposit,2,1479,30.0
deposit,1,1480,10.0
deposit,1,1482,10.0
deposit,1,1484,10.0
deposit,2,1485,30.0
deposit,1,1486,10.0
deposit,1,1488,10.0
deposit,1,1490,10.0
deposit,2,1491,30.0
deposit,1,1492,10.0
deposit,1,1494,10.0
withdrawal,2,1495,10.0
deposit,1,1496,10.0
deposit,2,1497,30.0
deposit,1,1498,10.0
deposit,1,1500,10.0
deposit,1,1502,10.0
deposit,2,1503,30.0
deposit,1,1504,10.0
withdrawal,2,1505,10.0
deposit,1,1506,10.0
deposit,1,1508,10.0
deposit,2,1509,30.0
deposit,1,1510,10.0
deposit,1,1512,10.0
deposit,1,1514,10.0
deposit,2,1515,30.0
deposit,1,1516,10.0
deposit,1,1518,10.0
deposit,1,1520,10.0
deposit,2,1521,30.0
